,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
1135,1149,27/02/2018,1,3,15,24,29,47,49,FLUMINENSE/RJ,0,,"R$0,00",4,"R$19.338,80",182,"R$607,18",3445,"R$6,00",30121,"R$2,00",17097,"R$5,00","R$1.325.679,46","R$1.562.900,00","R$1.500.000,00",
1136,1150,01/03/2018,3,19,21,33,37,64,65,NACIONAL/AM,0,,"R$0,00",6,"R$15.138,57",167,"R$777,00",3223,"R$6,00",30321,"R$2,00",5243,"R$5,00","R$1.552.757,94","R$1.641.284,00","R$1.800.000,00",
1137,1151,03/03/2018,10,12,14,29,41,44,70,GUARANI/SP,0,,"R$0,00",4,"R$22.649,38",153,"R$845,91",3296,"R$6,00",30155,"R$2,00",8752,"R$5,00","R$1.779.251,70","R$1.676.024,00","R$2.000.000,00",
1138,1152,06/03/2018,12,16,33,52,55,71,77,NÁUTICO/PE,0,,"R$0,00",7,"R$11.951,90",189,"R$632,37",3359,"R$6,00",29293,"R$2,00",7272,"R$5,00","R$1.988.409,80","R$1.549.336,00","R$2.200.000,00",
1139,1153,08/03/2018,8,21,48,52,57,74,80,PALMAS/TO,0,,"R$0,00",3,"R$30.966,77",155,"R$856,22",2936,"R$6,00",28601,"R$2,00",6922,"R$5,00","R$2.220.660,52","R$1.680.438,00","R$2.400.000,00",
1140,1154,10/03/2018,27,28,54,56,65,73,80,RIVER/PI,0,,"R$0,00",2,"R$49.332,24",146,"R$965,40",3010,"R$6,00",30621,"R$2,00",8346,"R$5,00","R$2.695.650,16","R$1.795.170,00","R$3.000.000,00",
1141,1155,13/03/2018,8,14,25,39,42,50,61,TREZE/PB,0,,"R$0,00",2,"R$47.628,66",142,"R$958,32",2695,"R$6,00",27494,"R$2,00",10490,"R$5,00","R$2.933.793,47","R$1.747.864,00","R$3.200.000,00",
1142,1156,15/03/2018,15,17,52,66,68,72,76,SPORT/PE,0,,"R$0,00",3,"R$36.561,73",158,"R$991,72",3283,"R$6,00",32543,"R$2,00",11384,"R$5,00","R$3.208.006,39","R$2.011.238,00","R$3.400.000,00",
1143,1157,17/03/2018,9,18,20,35,44,46,55,RIO BRANCO/AC,0,,"R$0,00",4,"R$26.436,67",197,"R$766,83",3547,"R$6,00",35018,"R$2,00",6499,"R$5,00","R$3.472.373,10","R$1.911.188,00","R$3.700.000,00",
1144,1158,20/03/2018,9,21,22,31,44,50,58,BARUERI/SP,0,,"R$0,00",4,"R$26.436,32",154,"R$980,93",2953,"R$6,00",30040,"R$2,00",6632,"R$5,00","R$3.736.736,22","R$1.883.220,00","R$3.900.000,00",
1145,1159,22/03/2018,13,18,37,47,48,67,68,CRB/AL,0,,"R$0,00",6,"R$19.381,71",188,"R$883,66",3604,"R$6,00",36518,"R$2,00",8517,"R$5,00","R$4.293.824,24","R$2.104.108,00","R$4.500.000,00",
1146,1160,24/03/2018,3,40,41,51,60,66,72,BRAGANTINO/SP,0,,"R$0,00",4,"R$30.964,43",163,"R$1.085,51",3181,"R$6,00",32876,"R$2,00",8274,"R$5,00","R$4.603.468,58","R$2.197.622,00","R$4.800.000,00",
1147,1161,27/03/2018,1,33,41,49,50,55,71,TREZE/PB,0,,"R$0,00",7,"R$16.651,16",222,"R$750,05",3864,"R$6,00",36368,"R$2,00",11868,"R$5,00","R$4.894.863,81","R$2.147.430,00","R$5.100.000,00",
1148,1162,29/03/2018,19,20,24,40,48,57,61,SÃO CAETANO/SP,0,,"R$0,00",5,"R$24.629,25",166,"R$1.059,77",3700,"R$6,00",36978,"R$2,00",8520,"R$5,00","R$5.202.729,38","R$2.213.852,00","R$5.400.000,00",
1149,1163,31/03/2018,6,33,36,37,38,43,72,AMERICANO/RJ,0,,"R$0,00",3,"R$29.850,48",129,"R$991,71",2856,"R$6,00",27659,"R$2,00",5680,"R$5,00","R$5.426.607,96","R$1.609.798,00","R$5.500.000,00",
1150,1164,03/04/2018,10,25,30,45,62,74,77,CRUZEIRO/MG,0,,"R$0,00",5,"R$24.193,51",223,"R$774,93",4486,"R$6,00",42040,"R$2,00",26869,"R$5,00","R$6.016.067,36","R$2.411.728,00","R$6.200.000,00",
1151,1165,05/04/2018,12,22,27,41,56,65,68,SANTO ANDRE/SP,0,,"R$0,00",8,"R$19.516,56",255,"R$874,69",4852,"R$6,00",47643,"R$2,00",11301,"R$5,00","R$6.406.398,44","R$2.817.684,00","R$6.600.000,00",
1152,1166,07/04/2018,23,35,39,50,51,52,74,RIO BRANCO/ES,0,,"R$0,00",8,"R$22.421,62",287,"R$892,84",5566,"R$6,00",52934,"R$2,00",12109,"R$5,00","R$6.854.830,87","R$3.219.662,00","R$7.200.000,00",
1153,1167,10/04/2018,9,21,37,60,67,71,76,RORAIMA/RR,0,,"R$0,00",3,"R$53.750,82",220,"R$1.047,09",4520,"R$6,00",44910,"R$2,00",9396,"R$5,00","R$7.257.962,02","R$2.860.268,00","R$7.500.000,00",
1154,1168,12/04/2018,19,54,67,68,72,74,75,AMÉRICA/MG,1,SÃO PAULO/SP,"R$7.692.671,52",4,"R$43.470,95",355,"R$699,73",6012,"R$6,00",56704,"R$2,00",16365,"R$5,00","R$0,00","R$3.202.896,00","R$100.000,00",
1155,1169,14/04/2018,4,5,8,26,36,67,72,CRUZEIRO/MG,0,,"R$0,00",2,"R$33.782,22",129,"R$748,22",2679,"R$6,00",26814,"R$2,00",15236,"R$5,00","R$538.014,18","R$1.366.272,00","R$750.000,00",
1156,1170,17/04/2018,11,35,38,44,48,51,77,VILLA NOVA/MG,0,,"R$0,00",1,"R$71.835,27",115,"R$892,36",2233,"R$6,00",22095,"R$2,00",3027,"R$5,00","R$717.602,36","R$1.273.548,00","R$900.000,00",
1157,1171,19/04/2018,9,12,22,26,27,43,58,SANTO ANDRÉ/SP,0,,"R$0,00",5,"R$14.901,47",157,"R$677,95",2968,"R$6,00",26515,"R$2,00",5078,"R$5,00","R$903.870,78","R$1.366.138,00","R$1.100.000,00",
1158,1172,24/04/2018,3,7,15,16,21,69,79,U BARBARENSE,0,,"R$0,00",8,"R$12.060,72",166,"R$830,34",3556,"R$6,00",32332,"R$2,00",4012,"R$5,00","R$1.145.085,29","R$1.728.792,00","R$1.300.000,00",
1159,1173,26/04/2018,2,3,4,5,8,62,75,AMÉRICA/MG,0,,"R$0,00",3,"R$27.593,18",639,"R$185,06",4074,"R$6,00",31320,"R$2,00",7156,"R$5,00","R$1.352.034,10","R$1.552.492,00","R$1.500.000,00",
1160,1174,28/04/2018,3,12,21,27,58,61,69,RIO BRANCO/AC,0,,"R$0,00",3,"R$29.606,47",190,"R$667,81",2888,"R$6,00",28358,"R$2,00",5271,"R$5,00","R$1.781.296,33","R$1.597.442,00","R$2.000.000,00",
1161,1175,03/05/2018,6,11,38,40,50,71,78,AMÉRICA/RJ,0,,"R$0,00",4,"R$27.792,30",136,"R$1.167,74",3078,"R$6,00",30956,"R$2,00",9797,"R$5,00","R$2.059.219,32","R$2.007.458,00","R$2.300.000,00",
1162,1176,05/05/2018,12,61,63,66,67,71,76,PALMAS/TO,0,,"R$0,00",7,"R$14.532,91",161,"R$902,66",2976,"R$6,00",27881,"R$2,00",7634,"R$5,00","R$2.313.545,32","R$1.822.682,00","R$2.500.000,00",
1163,1177,08/05/2018,7,14,30,33,54,65,74,FLAMENGO/RJ,0,,"R$0,00",4,"R$17.961,79",157,"R$653,75",3181,"R$6,00",31445,"R$2,00",51994,"R$5,00","R$2.493.163,22","R$1.859.000,00","R$2.700.000,00",
1164,1178,10/05/2018,15,35,37,38,43,66,69,ABC/RN,0,,"R$0,00",2,"R$48.404,19",217,"R$637,31",3409,"R$6,00",31173,"R$2,00",12363,"R$5,00","R$2.735.184,15","R$1.817.616,00","R$3.000.000,00",
1165,1179,12/05/2018,5,21,32,33,57,60,79,CORITIBA/PR,0,,"R$0,00",3,"R$34.145,32",175,"R$836,21",3270,"R$6,00",32835,"R$2,00",11082,"R$5,00","R$3.233.269,60","R$1.896.490,00","R$3.400.000,00",
1166,1180,15/05/2018,1,29,45,58,68,73,79,SAMPAIO CORRÊA/MA,0,,"R$0,00",3,"R$33.752,58",138,"R$1.048,21",2855,"R$6,00",29034,"R$2,00",7718,"R$5,00","R$3.486.413,89","R$1.819.690,00","R$3.600.000,00",
1167,1181,17/05/2018,8,34,37,44,48,72,80,NÁUTICO/PE,0,,"R$0,00",8,"R$13.552,27",186,"R$832,70",3747,"R$6,00",36070,"R$2,00",9605,"R$5,00","R$3.757.459,29","R$1.993.614,00","R$4.000.000,00",
1168,1182,19/05/2018,8,17,19,21,46,76,78,MIXTO/MT,0,,"R$0,00",7,"R$17.077,20",183,"R$933,18",3920,"R$6,00",38463,"R$2,00",9489,"R$5,00","R$4.056.310,36","R$2.177.720,00","R$4.300.000,00",
1169,1183,22/05/2018,4,10,17,53,55,70,77,REMO/PA,0,,"R$0,00",10,"R$10.571,20",257,"R$587,61",4634,"R$6,00",39816,"R$2,00",10220,"R$5,00","R$4.320.590,33","R$1.986.134,00","R$4.500.000,00",
