,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
0,1,01/03/2008,24,31,51,57,63,71,80,PALMAS/TO,0,,"R$0,00",6,"R$59.909,90",328,"R$730,61",6032,"R$6,00",60403,"R$2,00",13122,"R$2,00","R$479.279,20","R$0,00","R$1.000.000,00",
1,2,08/03/2008,18,20,25,31,50,63,77,SÃO PAULO/SP,0,,"R$0,00",10,"R$28.097,91",316,"R$592,79",5882,"R$6,00",58525,"R$2,00",104390,"R$2,00","R$853.917,98","R$0,00","R$1.200.000,00",
2,3,15/03/2008,9,21,29,36,43,72,74,NÁUTICO/PE,0,,"R$0,00",7,"R$47.354,51",339,"R$651,88",6107,"R$6,00",59464,"R$2,00",15486,"R$2,00","R$1.295.893,36","R$0,00","R$1.500.000,00",
3,4,22/03/2008,15,38,54,66,68,70,71,SÃO RAIMUNDO/AM,0,,"R$0,00",3,"R$91.378,01",251,"R$728,11",4335,"R$6,00",41945,"R$2,00",8069,"R$2,00","R$2.076.756,78","R$0,00","R$2.500.000,00",
4,5,29/03/2008,15,20,23,24,51,54,58,MIXTO/MT,0,,"R$0,00",4,"R$71.074,74",286,"R$662,70",6299,"R$6,00",62221,"R$2,00",11655,"R$2,00","R$2.455.822,02","R$0,00","R$2.800.000,00",
5,6,05/04/2008,1,8,17,55,59,60,80,RIO BRANCO/AC,0,,"R$0,00",13,"R$24.917,39",485,"R$445,26",8170,"R$6,00",73407,"R$2,00",7956,"R$2,00","R$2.887.723,54","R$0,00","R$3.200.000,00",
6,7,13/04/2008,15,18,29,37,42,55,77,UBERLÂNDIA/MG,0,,"R$0,00",11,"R$26.967,79",520,"R$380,31",8025,"R$6,00",68820,"R$2,00",9684,"R$2,00","R$3.283.251,12","R$0,00","R$3.500.000,00",
7,8,20/04/2008,48,50,61,71,74,75,76,ATLÉTICO/MG,0,,"R$0,00",4,"R$72.897,70",160,"R$1.214,96",3535,"R$6,00",37706,"R$2,00",41652,"R$2,00","R$3.672.038,87","R$0,00","R$4.000.000,00",
8,9,27/04/2008,5,24,37,56,58,69,78,PALMAS/TO,0,,"R$0,00",10,"R$27.875,95",365,"R$509,15",6786,"R$6,00",60068,"R$2,00",10484,"R$2,00","R$4.535.458,60","R$0,00","R$5.000.000,00",
9,10,04/05/2008,1,14,23,37,53,59,74,JI-PARANÁ / RO,0,,"R$0,00",7,"R$40.556,59",329,"R$575,27",5926,"R$6,00",57026,"R$2,00",13880,"R$2,00","R$4.913.986,78","R$0,00","R$5.300.000,00",
10,12,17/05/2008,2,13,15,24,39,56,73,AMÉRICA/RN,0,,"R$0,00",14,"R$19.878,09",484,"R$383,32",8180,"R$6,00",72164,"R$2,00",8344,"R$2,00","R$5.684.619,13","R$0,00","R$6.000.000,00",
11,13,24/05/2008,6,28,32,37,73,75,79,U BARBARENSE,0,,"R$0,00",11,"R$25.629,44",307,"R$612,21",5541,"R$6,00",53928,"R$2,00",5895,"R$2,00","R$6.060.517,56","R$3.250.840,00","R$6.500.000,00",
12,14,31/05/2008,15,19,32,51,57,60,68,BRASILIENSE/DF,0,,"R$0,00",7,"R$44.949,50",319,"R$657,57",6465,"R$6,00",63078,"R$2,00",14132,"R$2,00","R$6.966.193,19","R$0,00","R$7.500.000,00",
13,15,08/06/2008,3,9,20,21,25,58,64,VILA NOVA/GO,0,,"R$0,00",15,"R$21.364,89",518,"R$412,45",8328,"R$6,00",70267,"R$2,00",13094,"R$2,00","R$7.393.490,89","R$0,00","R$7.800.000,00",
14,16,15/06/2008,5,38,42,52,55,57,59,FORTALEZA/CE,1,BA,"R$7.818.108,56",5,"R$63.692,65",389,"R$545,78",8245,"R$6,00",72098,"R$2,00",26605,"R$2,00","R$0,00","R$0,00","R$500.000,00",GANHADOR DE 7 ACERTOS: SALVADOR/BA.
15,17,22/06/2008,10,12,20,23,30,50,53,FIGUEIRENSE/SC,0,,"R$0,00",10,"R$18.155,20",256,"R$472,79",4344,"R$6,00",38401,"R$2,00",8187,"R$2,00","R$242.069,38","R$0,00","R$500.000,00",
16,18,29/06/2008,9,15,26,33,54,63,70,PORT DESPORT,0,,"R$0,00",5,"R$34.870,21",187,"R$621,58",3825,"R$6,00",37173,"R$2,00",7782,"R$2,00","R$474.537,42","R$2.050.224,00","R$700.000,00",
17,19,06/07/2008,26,38,44,49,55,60,75,CSA/AL,0,,"R$0,00",3,"R$65.919,72",176,"R$749,09",3482,"R$6,00",36198,"R$2,00",6181,"R$2,00","R$1.135.749,23","R$0,00","R$1.500.000,00",
18,20,13/07/2008,19,28,37,39,53,64,73,FIGUEIRENSE/SC,0,,"R$0,00",14,"R$14.803,84",455,"R$303,67",4248,"R$6,00",41695,"R$2,00",10277,"R$2,00","R$1.412.087,58","R$0,00","R$1.800.000,00",
19,21,20/07/2008,1,15,46,59,65,75,80,FLUMINENSE/RJ,0,,"R$0,00",7,"R$27.691,64",268,"R$482,19",4605,"R$6,00",43044,"R$2,00",33615,"R$2,00","R$1.670.542,91","R$0,00","R$1.900.000,00",
20,22,27/07/2008,4,7,21,52,55,60,78,LONDRINA/PR,0,,"R$0,00",4,"R$49.164,99",218,"R$601,41",4156,"R$6,00",39273,"R$2,00",10896,"R$2,00","R$1.932.756,17","R$0,00","R$2.200.000,00",
21,23,03/08/2008,12,16,17,20,23,60,62,GAMA/DF,0,,"R$0,00",6,"R$35.649,45",216,"R$660,17",4526,"R$6,00",43109,"R$2,00",8991,"R$2,00","R$2.217.951,75","R$0,00","R$2.500.000,00",
22,24,10/08/2008,4,59,61,62,72,78,80,PARANÁ/PR,0,,"R$0,00",0,"R$0,00",129,"R$1.170,00",2806,"R$6,00",32715,"R$2,00",8860,"R$2,00","R$3.092.221,80","R$0,00","R$3.500.000,00",
23,25,17/08/2008,4,23,44,47,49,51,75,YPIRANGA/AP,0,,"R$0,00",9,"R$23.224,49",306,"R$455,38",5195,"R$6,00",46019,"R$2,00",7188,"R$2,00","R$3.370.915,69","R$0,00","R$3.700.000,00",
24,26,24/08/2008,7,14,22,48,54,70,74,ATLÉTICO/MG,0,,"R$0,00",5,"R$40.708,95",282,"R$481,19",4542,"R$6,00",41896,"R$2,00",28214,"R$2,00","R$3.642.308,67","R$0,00","R$3.900.000,00",
25,27,31/08/2008,4,8,20,31,48,54,55,GRÊMIO/RS,0,,"R$0,00",6,"R$31.520,18",281,"R$448,68",5274,"R$6,00",47572,"R$2,00",55898,"R$2,00","R$3.894.470,11","R$0,00","R$4.200.000,00","O SORTEIO DO CONCURSO 28 DA TIMEMANIA SERÁ REALIZADO DIA 07/09/2008, AS 15h30min."
26,28,07/09/2008,15,24,26,55,66,72,78,SANTOS/SP,0,,"R$0,00",5,"R$41.254,83",205,"R$670,81",4591,"R$6,00",47303,"R$2,00",50327,"R$2,00","R$4.169.502,30","R$0,00","R$4.500.000,00",
27,29,14/09/2008,4,8,25,34,49,52,68,RIO BRANCO/AC,1,SP,"R$4.479.711,11",16,"R$14.541,04",357,"R$434,47",6048,"R$6,00",53122,"R$2,00",5285,"R$2,00","R$0,00","R$0,00","R$600.000,00",Ganhador de 7 acertos: Santo André/SP.
28,30,21/09/2008,1,9,19,20,33,44,69,AMÉRICA/RN,0,,"R$0,00",4,"R$36.765,30",267,"R$367,20",4781,"R$6,00",38419,"R$2,00",4552,"R$2,00","R$542.953,98","R$0,00","R$800.000,00",
29,31,28/09/2008,1,12,46,52,63,70,74,BAHIA/BA,0,,"R$0,00",7,"R$21.146,21",108,"R$913,73",2241,"R$6,00",24748,"R$2,00",21102,"R$2,00","R$740.318,56","R$0,00","R$900.000,00",
30,32,05/10/2008,2,19,23,25,41,45,54,VITÓRIA/BA,0,,"R$0,00",3,"R$47.915,91",233,"R$411,30",4445,"R$6,00",38293,"R$2,00",15199,"R$2,00","R$931.982,21","R$0,00","R$1.200.000,00",
31,33,11/10/2008,13,29,30,35,62,78,79,SÃO RAIMUNDO/AM,0,,"R$0,00",3,"R$52.200,90",110,"R$949,11",2759,"R$6,00",28339,"R$2,00",4560,"R$2,00","R$1.140.785,80","R$0,00","R$1.300.000,00",
32,35,26/10/2008,16,20,25,50,70,75,77,FORTALEZA/CE,1,BA,"R$1.774.256,89",4,"R$36.871,64",168,"R$585,27",2911,"R$6,00",26304,"R$2,00",11831,"R$2,00","R$0,00","R$0,00","R$300.000,00",GANHADOR DE 7 ACERTOS: EUCLIDES DA CUNHA/BA.
33,36,01/11/2008,10,20,42,54,58,59,72,MIXTO/MT,0,,"R$0,00",2,"R$63.506,59",115,"R$736,31",2494,"R$6,00",25855,"R$2,00",4762,"R$2,00","R$169.350,90","R$0,00","R$300.000,00",
34,37,09/11/2008,6,8,12,19,37,51,55,SÃO RAIMUNDO/AM,0,,"R$0,00",10,"R$12.692,52",353,"R$239,71",4982,"R$6,00",39222,"R$2,00",3890,"R$2,00","R$338.584,55","R$0,00","R$500.000,00",
35,38,16/11/2008,8,21,30,35,49,69,71,GOIÁS/GO,0,,"R$0,00",0,"R$0,00",80,"R$865,04",1668,"R$6,00",17594,"R$2,00",7990,"R$2,00","R$580.794,12","R$0,00","R$700.000,00",
36,39,23/11/2008,13,28,31,41,52,61,80,RIO BRANCO/ES,0,,"R$0,00",2,"R$65.677,50",113,"R$774,95",2070,"R$6,00",22229,"R$2,00",2983,"R$2,00","R$968.128,87","R$0,00","R$1.200.000,00",
37,40,30/11/2008,9,35,36,45,54,64,76,FIGUEIRENSE/SC,0,,"R$0,00",2,"R$66.471,69",122,"R$726,46",2559,"R$6,00",25607,"R$2,00",6588,"R$2,00","R$1.145.386,70","R$0,00","R$1.400.000,00",
38,41,07/12/2008,19,25,37,42,63,75,79,BANGU/RJ,0,,"R$0,00",2,"R$69.633,74",260,"R$357,10",4049,"R$6,00",33465,"R$2,00",5873,"R$2,00","R$1.331.076,65","R$0,00","R$1.500.000,00",
39,42,14/12/2008,8,19,41,47,50,71,78,BARUERI/SP,0,,"R$0,00",1,"R$140.402,67",120,"R$780,01",2612,"R$6,00",27004,"R$2,00",4485,"R$2,00","R$1.518.280,20","R$0,00","R$1.700.000,00",
40,43,21/12/2008,10,23,42,52,60,66,73,FLAMENGO/RJ,0,,"R$0,00",4,"R$30.570,17",106,"R$769,06",2679,"R$6,00",26335,"R$2,00",64190,"R$2,00","R$1.681.321,11","R$0,00","R$1.800.000,00",
41,44,28/12/2008,20,21,27,30,64,66,76,SANTOS/SP,0,,"R$0,00",1,"R$120.636,93",50,"R$1.608,49",1607,"R$6,00",18741,"R$2,00",27787,"R$2,00","R$2.060.680,76","R$0,00","R$2.200.000,00",GANHADOR DE 6 ACERTOS: SÃO PAULO/SP
42,45,04/01/2009,20,26,28,34,55,71,76,SPORT/PE,0,,"R$0,00",3,"R$43.009,36",141,"R$610,06",2268,"R$6,00",23657,"R$2,00",10305,"R$2,00","R$2.232.718,21","R$0,00","R$2.400.000,00",
43,46,10/01/2009,8,16,36,57,60,69,75,UBERLÂNDIA/MG,0,,"R$0,00",5,"R$29.149,14",156,"R$622,84",2849,"R$6,00",27907,"R$2,00",5013,"R$2,00","R$2.427.045,81","R$0,00","R$2.600.000,00",
44,47,18/01/2009,25,27,29,46,64,73,79,XV PIRACICABA,0,,"R$0,00",4,"R$34.351,45",150,"R$610,69",2971,"R$6,00",27091,"R$2,00",3429,"R$2,00","R$2.610.253,53","R$1.593.868,00","R$2.700.000,00",
45,48,24/01/2009,16,20,33,52,59,65,80,ATLÉTICO/MG,0,,"R$0,00",7,"R$18.972,58",161,"R$549,93",2884,"R$6,00",27508,"R$2,00",21033,"R$2,00","R$2.787.330,96","R$0,00","R$3.000.000,00",
46,49,01/02/2009,12,17,20,27,36,38,69,CEARÁ/CE,0,,"R$0,00",2,"R$67.910,71",130,"R$696,52",2805,"R$6,00",28834,"R$2,00",11083,"R$2,00","R$3.195.362,59","R$0,00","R$3.400.000,00",
47,51,15/02/2009,15,27,28,30,43,52,67,MARÍLIA/SP,0,,"R$0,00",4,"R$39.545,12",148,"R$712,53",3041,"R$6,00",31258,"R$2,00",6651,"R$2,00","R$3.602.456,33","R$0,00","R$3.800.000,00",
48,52,22/02/2009,1,29,38,42,53,55,71,RIO BRANCO/ES,0,,"R$0,00",4,"R$38.184,58",164,"R$620,89",3223,"R$6,00",31547,"R$2,00",4312,"R$2,00","R$3.806.107,44","R$0,00","R$4.000.000,00",
49,53,28/02/2009,1,13,16,44,60,66,71,GAMA/DF,0,,"R$0,00",6,"R$24.211,83",173,"R$559,82",3218,"R$6,00",30367,"R$2,00",6559,"R$2,00","R$3.999.802,06","R$0,00","R$4.200.000,00",
50,54,07/03/2009,8,18,20,38,40,48,71,FLAMENGO/RJ,0,,"R$0,00",5,"R$30.685,67",192,"R$532,74",3250,"R$6,00",34426,"R$2,00",71039,"R$2,00","R$4.456.625,88","R$0,00","R$4.700.000,00",
51,55,15/03/2009,14,26,37,43,60,69,77,ATLÉTICO/GO,0,,"R$0,00",5,"R$38.447,95",159,"R$806,04",3393,"R$6,00",34389,"R$2,00",8598,"R$2,00","R$4.712.945,54","R$0,00","R$5.000.000,00",
52,59,11/04/2009,2,9,27,30,38,61,72,SPORT/PE,0,,"R$0,00",4,"R$55.890,78",208,"R$716,55",4506,"R$6,00",42872,"R$2,00",16382,"R$2,00","R$6.287.788,80","R$0,00","R$6.500.000,00",
53,60,18/04/2009,23,24,39,53,54,55,69,RIO BRANCO/ES,0,,"R$0,00",7,"R$32.239,65",235,"R$640,22",4927,"R$6,00",50155,"R$2,00",6695,"R$2,00","R$6.588.692,24","R$0,00","R$6.900.000,00",
54,61,25/04/2009,4,14,41,42,50,64,70,JUVENTUDE/RS,0,,"R$0,00",3,"R$72.240,42",160,"R$903,00",3313,"R$6,00",35786,"R$2,00",11513,"R$2,00","R$6.877.653,89","R$0,00","R$7.200.000,00",
55,62,02/05/2009,16,19,33,59,69,70,80,INTERNACIONAL/RS,0,,"R$0,00",2,"R$99.417,90",242,"R$782,51",4590,"R$6,00",42204,"R$2,00",44146,"R$2,00","R$7.142.768,29","R$0,00","R$7.400.000,00",
56,63,09/05/2009,13,17,29,45,48,56,62,AMÉRICA/MG,0,,"R$0,00",15,"R$17.073,28",454,"R$537,23",7448,"R$6,00",61064,"R$2,00",10211,"R$2,00","R$7.484.233,95","R$0,00","R$7.800.000,00",
57,64,16/05/2009,40,44,51,56,64,71,77,SERGIPE/SE,0,,"R$0,00",6,"R$42.751,35",259,"R$943,21",4536,"R$6,00",47193,"R$2,00",9138,"R$2,00","R$8.210.858,79","R$0,00","R$8.500.000,00",
58,65,23/05/2009,11,14,28,36,59,72,79,CORITIBA/PR,0,,"R$0,00",7,"R$34.719,57",223,"R$726,57",4794,"R$6,00",45878,"R$2,00",18800,"R$2,00","R$8.534.908,11","R$0,00","R$8.800.000,00",
59,66,30/05/2009,4,16,17,24,31,59,71,UBERLÂNDIA/MG,0,,"R$0,00",6,"R$43.805,05",304,"R$823,40",5863,"R$6,00",57149,"R$2,00",11234,"R$2,00","R$8.885.348,52","R$3.094.602,00","R$9.300.000,00",
60,67,06/06/2009,13,20,21,32,70,74,79,ATLÉTICO/GO,0,,"R$0,00",6,"R$47.319,89",201,"R$1.345,27",4625,"R$6,00",49804,"R$2,00",12384,"R$2,00","R$9.263.907,59","R$3.269.832,00","R$9.600.000,00",.
61,68,13/06/2009,4,13,24,41,49,52,80,REMO/PA,0,,"R$0,00",5,"R$51.360,56",341,"R$717,22",6529,"R$6,00",60749,"R$2,00",12538,"R$2,00","R$9.606.311,31","R$3.062.214,00","R$10.000.000,00",
62,69,20/06/2009,5,8,10,38,55,71,78,TUNA LUSO/PA,1,BRUMADO/BA,"R$9.952.081,77",16,"R$16.207,99",442,"R$558,77",8079,"R$6,00",67705,"R$2,00",7817,"R$2,00","R$0,00","R$3.118.288,00","R$600.000,00",
63,70,27/06/2009,6,8,18,19,45,46,73,MARÍLIA/SP,0,,"R$0,00",5,"R$24.004,85",129,"R$886,11",2834,"R$6,00",27922,"R$2,00",5415,"R$2,00","R$595.338,16","R$1.424.396,00","R$750.000,00",
64,71,04/07/2009,3,8,9,27,28,52,78,PAYSANDU/PA,0,,"R$0,00",2,"R$62.349,19",198,"R$599,79",3899,"R$6,00",33182,"R$2,00",5648,"R$2,00","R$761.602,65","R$1.510.556,00","R$900.000,00",
65,72,11/07/2009,1,6,21,26,36,40,55,PORT DESPORT,0,,"R$0,00",2,"R$63.963,12",91,"R$1.338,84",2189,"R$6,00",23663,"R$2,00",6259,"R$2,00","R$932.170,96","R$1.482.936,00","R$1.100.000,00",
66,73,18/07/2009,3,7,39,42,48,57,75,TREZE/PB,0,,"R$0,00",10,"R$12.298,45",206,"R$568,58",3397,"R$6,00",29610,"R$2,00",7609,"R$2,00","R$1.096.150,30","R$1.479.262,00","R$1.300.000,00",
67,74,25/07/2009,3,20,25,31,40,51,60,AMÉRICA/RJ,0,,"R$0,00",2,"R$63.800,07",141,"R$861,87",2534,"R$6,00",25118,"R$2,00",4792,"R$2,00","R$1.474.028,37","R$1.484.008,00","R$1.700.000,00",
68,75,01/08/2009,6,12,22,50,52,59,72,RIVER/PI,0,,"R$0,00",3,"R$43.994,56",141,"R$891,48",2534,"R$6,00",25789,"R$2,00",6012,"R$2,00","R$1.650.006,60","R$1.537.608,00","R$1.850.000,00",
69,76,08/08/2009,25,34,46,51,52,64,76,TREZE/PB,0,,"R$0,00",3,"R$48.812,90",209,"R$667,29",2985,"R$6,00",27081,"R$2,00",8709,"R$2,00","R$1.845.258,19","R$1.710.472,00","R$2.000.000,00",
70,77,15/08/2009,19,20,23,44,49,57,64,BANGU/RJ,0,,"R$0,00",8,"R$16.864,36",229,"R$561,09",3726,"R$6,00",32603,"R$2,00",5934,"R$2,00","R$2.025.144,62","R$1.612.786,00","R$2.200.000,00",
71,78,22/08/2009,22,38,39,44,48,52,56,VITÓRIA/BA,0,,"R$0,00",6,"R$23.561,52",179,"R$752,16",3383,"R$6,00",29841,"R$2,00",13570,"R$2,00","R$2.213.636,78","R$1.696.318,00","R$2.400.000,00",
72,79,29/08/2009,2,8,37,39,46,52,80,NACIONAL/AM,0,,"R$0,00",5,"R$28.682,93",144,"R$948,50",2991,"R$6,00",30750,"R$2,00",4340,"R$2,00","R$2.637.563,35","R$1.676.202,00","R$2.800.000,00",
73,80,05/09/2009,8,15,20,42,43,44,48,CRB/AL,0,,"R$0,00",8,"R$19.079,90",220,"R$660,77",3986,"R$6,00",35774,"R$2,00",5179,"R$2,00","R$2.841.082,31","R$1.810.164,00","R$3.000.000,00",
74,81,12/09/2009,6,7,12,15,66,68,80,AMÉRICA/RJ,0,,"R$0,00",2,"R$73.258,27",140,"R$996,71",3068,"R$6,00",30557,"R$2,00",6244,"R$2,00","R$3.036.437,68","R$1.716.756,00","R$3.200.000,00",
75,82,19/09/2009,30,42,43,46,57,63,64,FIGUEIRENSE/SC,0,,"R$0,00",7,"R$21.723,09",146,"R$991,92",2796,"R$6,00",27201,"R$2,00",6407,"R$2,00","R$3.239.186,49","R$1.756.728,00","R$3.400.000,00",
76,83,26/09/2009,11,25,28,48,52,62,78,RORAIMA/RR,0,,"R$0,00",1,"R$162.396,79",165,"R$937,35",3322,"R$6,00",32557,"R$2,00",4477,"R$2,00","R$3.455.715,53","R$1.885.474,00","R$3.700.000,00",
77,84,03/10/2009,3,4,7,10,27,34,73,SAMPAIO CORRÊA/MA,0,,"R$0,00",8,"R$21.076,75",326,"R$492,59",6132,"R$6,00",45771,"R$2,00",6133,"R$2,00","R$3.941.276,85","R$2.051.138,00","R$4.100.000,00",
78,85,10/10/2009,9,17,21,36,50,64,67,AMÉRICA/MG,0,,"R$0,00",9,"R$18.598,49",192,"R$830,28",3351,"R$6,00",32005,"R$2,00",6705,"R$2,00","R$4.164.458,77","R$1.944.792,00","R$4.400.000,00",
79,86,17/10/2009,19,23,32,41,55,71,80,JUVENTUS/SP,0,,"R$0,00",1,"R$160.623,60",265,"R$577,26",4512,"R$6,00",39525,"R$2,00",6520,"R$2,00","R$4.378.623,57","R$1.921.818,00","R$4.600.000,00",
80,87,24/10/2009,11,21,25,34,37,55,72,VASCO DA GAMA/RJ,0,,"R$0,00",8,"R$19.139,71",160,"R$911,41",3232,"R$6,00",33080,"R$2,00",30147,"R$2,00","R$4.582.780,51","R$1.902.126,00","R$4.800.000,00",
81,88,31/10/2009,9,18,19,40,60,65,75,PALMEIRAS/SP,0,,"R$0,00",3,"R$53.879,55",118,"R$1.304,58",3073,"R$6,00",33987,"R$2,00",52969,"R$2,00","R$4.798.298,70","R$2.091.430,00","R$5.000.000,00",
82,89,07/11/2009,4,8,10,41,62,72,73,RIVER/PI,0,,"R$0,00",2,"R$91.836,16",160,"R$1.093,28",3372,"R$6,00",36141,"R$2,00",7851,"R$2,00","R$5.318.674,74","R$2.136.622,00","R$5.800.000,00",
83,90,14/11/2009,44,65,68,69,71,73,76,SÃO PAULO/SP,0,,"R$0,00",10,"R$18.230,08",178,"R$975,39",3175,"R$6,00",32388,"R$2,00",50828,"R$2,00","R$5.561.742,53","R$2.290.394,00","R$6.000.000,00",
84,91,21/11/2009,5,12,17,25,52,57,76,ATLÉTICO/GO,0,,"R$0,00",22,"R$9.331,89",475,"R$411,63",6562,"R$6,00",52574,"R$2,00",9928,"R$2,00","R$5.835.477,93","R$2.482.614,00","R$6.000.000,00",
85,92,28/11/2009,1,4,9,39,40,56,62,YPIRANGA/AP,0,,"R$0,00",2,"R$104.579,49",250,"R$796,79",4238,"R$6,00",42063,"R$2,00",6993,"R$2,00","R$6.114.356,55","R$2.433.772,00","R$6.300.000,00",
86,93,05/12/2009,4,8,17,30,46,47,60,MOTO CLUBE/MA,0,,"R$0,00",4,"R$51.013,02",224,"R$867,56",4311,"R$6,00",43964,"R$2,00",8146,"R$2,00","R$6.386.425,99","R$2.395.136,00","R$6.800.000,00",
87,94,12/12/2009,7,12,34,46,52,56,79,IPATINGA/MG,0,,"R$0,00",7,"R$27.524,12",327,"R$561,14",5079,"R$6,00",44425,"R$2,00",9046,"R$2,00","R$6.974.478,61","R$2.293.232,00","R$7.200.000,00",
88,95,19/12/2009,13,30,34,36,67,73,74,AMÉRICA/RN,0,,"R$0,00",2,"R$103.055,58",165,"R$1.189,67",3610,"R$6,00",36387,"R$2,00",7305,"R$2,00","R$7.249.293,48","R$2.370.708,00","R$7.500.000,00",
89,96,26/12/2009,4,9,20,32,36,51,80,PORT DESPORT,0,,"R$0,00",3,"R$59.623,44",225,"R$757,12",4647,"R$6,00",43645,"R$2,00",8402,"R$2,00","R$7.487.787,23","R$2.138.564,00","R$7.600.000,00",
90,97,09/01/2010,4,15,38,40,45,60,66,AMÉRICA/RJ,0,,"R$0,00",2,"R$107.553,70",210,"R$975,54",4152,"R$6,00",41519,"R$2,00",9630,"R$2,00","R$7.774.597,08","R$2.503.328,00","R$8.000.000,00",AS APOSTAS GANHADORAS DE 6 ACERTOS FORAM REALIZADAS EM BELO JARDIM/PE E MANAUS/AM.
91,98,16/01/2010,5,28,35,40,41,50,71,GOIÁS/GO,1,CAMBUQUIRA/MG,"R$8.063.566,04",3,"R$72.242,24",221,"R$933,96",4101,"R$6,00",40786,"R$2,00",20385,"R$2,00","R$0,00","R$2.563.000,00","R$150.000,00",
92,99,23/01/2010,5,12,28,52,60,63,66,LONDRINA/PR,0,,"R$0,00",3,"R$33.373,73",97,"R$983,02",2228,"R$6,00",20943,"R$2,00",5225,"R$2,00","R$439.140,55","R$1.179.286,00","R$600.000,00",
93,100,30/01/2010,14,36,38,58,70,72,74,PAYSANDU/PA,0,,"R$0,00",0,"R$0,00",100,"R$1.018,66",1699,"R$6,00",17771,"R$2,00",4748,"R$2,00","R$688.712,98","R$1.227.312,00","R$800.000,00",
94,101,06/02/2010,1,46,59,60,63,76,80,CEARÁ/CE,0,,"R$0,00",4,"R$26.971,11",146,"R$703,74",2405,"R$6,00",21757,"R$2,00",8926,"R$2,00","R$832.558,89","R$1.281.590,00","R$1.000.000,00",
95,102,13/02/2010,26,28,34,45,48,49,77,GAMA/DF,0,,"R$0,00",4,"R$25.530,04",121,"R$803,77",2185,"R$6,00",20815,"R$2,00",4984,"R$2,00","R$968.719,09","R$1.197.814,00","R$1.100.000,00",
96,103,20/02/2010,3,7,16,21,42,71,80,RORAIMA/RR,0,,"R$0,00",5,"R$19.749,35",134,"R$701,82",2581,"R$6,00",23623,"R$2,00",2458,"R$2,00","R$1.100.381,43","R$1.169.284,00","R$1.200.000,00",
97,104,27/02/2010,4,58,61,62,66,69,80,UNIÃO SÃO JOÃO/SP,0,,"R$0,00",1,"R$112.531,72",64,"R$1.172,20",1734,"R$6,00",18013,"R$2,00",2365,"R$2,00","R$1.426.504,65","R$1.276.142,00","R$1.600.000,00",
98,105,06/03/2010,2,3,10,17,51,52,75,MARÍLIA/SP,0,,"R$0,00",2,"R$58.316,32",151,"R$735,62",3097,"R$6,00",28891,"R$2,00",5279,"R$2,00","R$1.582.014,82","R$1.396.338,00","R$1.700.000,00",
99,106,13/03/2010,11,17,18,19,59,73,75,INTER LIMEIRA/SP,0,,"R$0,00",4,"R$28.683,92",126,"R$867,23",2554,"R$6,00",24634,"R$2,00",4884,"R$2,00","R$1.734.995,71","R$1.349.392,00","R$1.900.000,00",
100,107,20/03/2010,6,9,13,38,46,58,80,BAHIA/BA,0,,"R$0,00",6,"R$18.882,01",211,"R$511,36",3401,"R$6,00",30810,"R$2,00",16311,"R$2,00","R$1.886.051,73","R$1.422.030,00","R$2.000.000,00",
101,108,27/03/2010,5,20,26,34,38,78,79,CORINTHIANS/SP,0,,"R$0,00",2,"R$50.569,42",92,"R$1.046,98",2063,"R$6,00",21354,"R$2,00",37369,"R$2,00","R$2.020.903,51","R$1.329.212,00","R$2.200.000,00",
102,109,03/04/2010,8,10,12,15,51,66,68,SANTOS/SP,0,,"R$0,00",9,"R$10.994,49",185,"R$509,39",2976,"R$6,00",26302,"R$2,00",26055,"R$2,00","R$2.334.420,64","R$1.290.788,00","R$2.600.000,00",
103,110,10/04/2010,3,14,24,41,42,59,63,UNIÃO SÃO JOÃO/SP,0,,"R$0,00",4,"R$31.401,77",152,"R$787,01",2655,"R$6,00",25394,"R$2,00",2813,"R$2,00","R$2.501.896,76","R$1.457.550,00","R$2.700.000,00",
104,111,17/04/2010,1,2,8,13,31,67,69,AMÉRICA/RJ,0,,"R$0,00",6,"R$21.100,55",184,"R$655,29",3455,"R$6,00",29829,"R$2,00",5896,"R$2,00","R$2.670.701,09","R$1.510.984,00","R$2.850.000,00",
105,112,24/04/2010,5,7,39,50,60,67,70,RIVER/PI,0,,"R$0,00",2,"R$62.498,61",129,"R$922,82",2196,"R$6,00",22236,"R$2,00",5127,"R$2,00","R$2.837.364,04","R$1.441.580,00","R$3.000.000,00","ATENÇÃO! DEVIDO AO FERIADO DE 1º DE MAIO, O CONCURSO 113 FOI ANTECIPADO PARA SEXTA-FEIRA, DIA 30/04/2010."
106,113,30/04/2010,4,17,24,39,69,75,77,UNIÃO S.JOÃO/SP,0,,"R$0,00",3,"R$34.340,06",128,"R$766,51",2536,"R$6,00",22743,"R$2,00",2765,"R$2,00","R$2.974.724,26","R$1.210.444,00","R$3.100.000,00",
