,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
179,180,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,1,SP,"R$637.250,67",65,"R$1.030,10",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 19/09/2005: R$250.000,00."
180,181,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,41,"CE; 
ES; 
GO; 
MA; 
MG; 
MS; 
PA; 
PE; 
PR; 
RJ; 
RR; 
RS; 
SE; 
SP","R$5.799,83",1282,"R$39,60",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 26/09/2005: R$ 250.000,00."
181,182,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,31,"GO; 
MG; 
PA; 
PB; 
PR; 
RJ; 
RS; 
SC; 
SP","R$7.746,95",628,"R$81,64",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 03/10/2005: R$250.000,00."
182,183,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",46,"R$1.142,18",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 10/10/2005: R$500.000,00."
183,184,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,6,"ES; 
PR; 
RJ; 
RN; 
SC; 
SP","R$77.979,58",260,"R$182,85",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 17/10/2005: R$600.000,00."
184,185,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,0,,"R$0,00",15,"R$3.556,70",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$900.000,00. Apuração prevista para 24/10/2005 (segunda-feira) às 12 horas."
185,186,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,0,,"R$0,00",17,"R$3.925,43",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 31/10/2005: R$1.100.000,00."
186,187,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,2,SP,"R$601.762,63",145,"R$549,89",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 07/11/2005: R$250.000,00."
187,188,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,25,"AL; 
AM; 
CE; 
DF; 
MG; 
MT; 
PA; 
PE; 
PR; 
RJ; 
RS; 
SC; 
SP; 
TO","R$9.420,73",646,"R$77,83",Não,"R$0,00","R$0,00","Estimativa de prêmio(14 ACERTOS) para o próximo concurso, a ser apurado em 14/11/2005: R$250.000,00."
188,189,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,3,"MG; 
RJ; 
SP","R$78.426,22",90,"R$558,07",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 21/11/2005: R$700.000,00."
189,190,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,3,"RS; 
SP","R$194.337,11",89,"R$676,41",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso a ser apurado em 28/11/2005: R$ 250.000,00."
190,191,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,3,"DF; 
GO; 
RJ","R$82.593,98",79,"R$669,55",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 05/12/2005: R$250.000,00."
191,192,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,24,"BA; 
DF; 
GO; 
MG; 
MS; 
PA; 
PB; 
PR; 
RJ; 
RN; 
RO; 
SP","R$9.857,21",943,"R$53,56",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 12/12/2005: R$250.000,00."
192,193,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",16,"R$1.564,76",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 19/12/2005: R$250.000,00."
193,194,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,0,,"R$0,00",6,"R$6.529,42",Sim,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 09/01/2006: R$800.000,00. O período de vendas para o concurso 195 será de 26/12/2005 a 07/01/2006."
194,195,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,5,"DF; 
MG; 
RJ; 
RS; 
SP","R$151.217,53",93,"R$523,34",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 16/01/2006: R$250.000,00."
195,196,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,7,"MG; 
PR; 
RS; 
SC; 
SP","R$27.755,78",203,"R$204,32",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$200.000,00. Apuração prevista para 23/01/2006 (segunda-feira), às 12 horas."
196,197,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,1,SP,"R$175.073,64",56,"R$667,39",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso, a ser apurado em 30/01/2006: R$200.000,00."
197,198,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,2,SP,"R$103.674,84",18,"R$2.468,45",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 06/02/2006: R$200.000,00."
198,199,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,3,"MG; 
SE; 
SP","R$62.380,26",68,"R$587,49",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 13/02/2006: R$350.000,00."
199,200,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",40,"R$1.533,70",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$900.000,00. Apuração prevista para 20/02/2006 (segunda-feira) às 12 horas."
200,201,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,1,SP,"R$886.872,49",16,"R$5.197,00",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 01/03/2006 (quarta-feira) às 14 horas: R$250.000,00."
201,202,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,1,SP,"R$255.313,80",25,"R$2.188,41",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$250.000,00. Apuração prevista para 06/03/2006, segunda-feira, às 12 horas."
202,203,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",1,"R$41.811,90",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 13/03/2006: R$350.000,000."
203,204,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,3,"MT; 
SP","R$151.984,38",52,"R$1.074,85",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso:R$600.000,00. Apuração prevista para 20/03/2006, segunda-feira, às 12 horas."
204,205,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,13,"AM; 
BA; 
MG; 
PR; 
RJ; 
RS; 
SC; 
SP","R$44.949,69",344,"R$178,37",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 27/03/2006: R$250.000,00."
205,206,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,5,"RS; 
SP","R$43.020,83",158,"R$290,64",Não,"R$0,00","R$0,00","Estimativa de prêmio(14 acertos) para o próximo concurso: R$250.000,00. Apuração prevista para 03/04/2006 (segunda-feira) às 12 horas."
206,207,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$0,00","A C U M U L O U !!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 10/04/2006: R$450.000,00. JOGOS 03 E 09 SORTEADOS EM 01/04/2006, JOGO 03: COLUNA DO MEIO E JOGO 09: COLUNA DO MEIO."
207,208,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,1,MG,"R$442.052,77",30,"R$1.798,90",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 17/04/2006: R$250.000,00."
208,209,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",3,"R$11.588,71",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 24/4/2006: R$650.000,00."
209,210,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,9,"DF; 
GO; 
MG; 
PB; 
PR; 
RS; 
SP","R$77.468,47",188,"R$346,31",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 02/05/2006: R$250.000,00."
210,211,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,0,,"R$0,00",20,"R$2.274,61",Sim,"R$0,00","R$0,00","A C U M U L O U ! ! ! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 08/05/2006: R$500.000,00."
211,212,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,8,"BA; 
MT; 
PR; 
RJ; 
RS; 
SP","R$60.081,53",329,"R$174,13",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 15/05/2006: R$250.000,00."
212,213,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",56,"R$841,23",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 22/05/2006: R$500.000,00."
213,214,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,1,SP,"R$512.364,40",55,"R$1.139,70",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$500.000,00. Apuração prevista para 29/05/2006 (segunda-feira) às 12 horas."
214,215,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",2,"R$27.251,16",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 05/06/2006: R$700.000,00."
215,216,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",29,"R$2.845,31",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$1.500.000,00. Apuração prevista para 14/06/2006 (quarta-feira) às 23:00hs."
216,217,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,204,"AL; 
AM; 
BA; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP","R$8.179,17",5394,"R$29,73",Não,"R$0,00","R$0,00","Estimativa de Prêmio (14 acertos) para o próximo concurso: R$800.000,00."
217,218,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,12,"GO; 
MA; 
MG; 
PA; 
PE; 
RJ; 
SC","R$35.977,34",342,"R$269,49",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 27/06/2006: R$400.000,00."
218,219,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,10,"DF; 
MG; 
MS; 
RJ; 
RS; 
SC; 
SP","R$12.579,91",319,"R$84,19",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 03/07/2006: R$600.000,00."
219,220,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,0,,"R$0,00",29,"R$1.140,51",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 13/07/2006: R$1.000.000,00."
220,221,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,6,"GO; 
MA; 
MG; 
SC; 
SP","R$137.958,10",146,"R$374,30",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 17/07/2006: R$250.000,00."
221,222,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,1,RJ,"R$148.393,16",7,"R$4.542,65",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$250.000,00. Apuração prevista para 24/07/2006 (segunda-feira) às 12 horas."
222,223,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,1,RJ,"R$199.164,67",18,"R$2.371,01",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 31/07/2006: R$250.000,00. Ganhador de 14 acertos: RJ."
223,224,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",2,"R$20.181,66",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 07/08/2006: R$700.000,00."
224,225,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,6,"GO; 
PR; 
RJ; 
SP","R$111.285,64",172,"R$343,28",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$250.000,00. Apuração prevista para 14/08/2006 (segunda-feira) às 12 horas."
225,226,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",4,"R$10.465,03",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio  (14 acertos) para o próximo concurso: R$500.000,00. Apuração prevista para 21/08/2006 (segunda-feira) às 12 horas."
226,227,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",15,"R$3.629,59",Sim,"R$0,00","R$0,00","O JOGO 09 BRASILIENSE/DF x MARÍLIA/SP FOI SORTEADO EM 19/08/2006, NO CAMINHÃO DA SORTE, ÀS 19 HORAS, EM TAGUATINGA/DF, EM VIRTUDE DE TER SIDO SUSPENSO PELA CBF. ACUMULOU! Estimativa de prêmio (14 acertos) para o próximo concurso: R$750.000,00. Apuração prevista  28/08/2006 (segunda-feira) às 12 horas."
227,228,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",3,"R$23.317,26",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$1.200.000,00. Apuração prevista para 04/09/2006 (segunda-feira) às 12 horas."
228,229,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",34,"R$2.325,50",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$2.200.000,00. Apuração prevista para 11/09/2006 (segunda-feira) às 12 horas."
229,230,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,3,"BA; 
SP","R$643.587,28",86,"R$1.199,34",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$200.000,00. Apuração prevista para 18/09/2006, segunda-feira, às 12 horas."
230,231,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,31,"BA; 
DF; 
MA; 
MG; 
PR; 
RJ; 
RN; 
SC; 
SP; 
TO","R$7.206,42",828,"R$57,61",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$250.000,00. Apuração prevista para 25/09/2006, segunda-feira, às 12 horas."
231,232,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,0,,"R$0,00",6,"R$7.626,86",Sim,"R$0,00","R$0,00","ACUMULOU!!! Prêmio líquido (14 acertos) para o próximo concurso: R$500.000,00. Apuração prevista para 05/10/2006 (quinta-feira) às 12 horas."
232,233,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,71,"AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
PA; 
PB; 
PE; 
PR; 
RJ; 
SC; 
SE; 
SP","R$6.527,32",1636,"R$32,61",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 09/10/2006: R$250.000,00."
233,234,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,795,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$208,79",9843,"R$3,62",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$500.000,00. Apuração prevista para 16/10/2006 (segunda-feira) às 12 horas."
234,235,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,5,"AM; 
MG; 
RN; 
SC; 
SP","R$104.492,44",171,"R$295,17",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 23/10/2006: R$250.000,00."
235,236,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,26,"BA; 
CE; 
MG; 
PB; 
PE; 
RJ; 
RN; 
RS; 
SP","R$8.186,99",702,"R$64,74",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$250.000,00. Apuração prevista para 30/10/2006, segunda-feira, às 12 horas."
236,237,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,1,MG,"R$202.696,05",15,"R$2.895,66",Não,"R$0,00","R$250.000,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$250.000,00. Apuração prevista para 06/11/2006, segunda-feira, às 12 horas."
237,238,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,1,SP,"R$190.418,48",61,"R$666,38",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$250.000,00. Apuração prevista para 13/11/2006 (segunda-feira) às 12 horas."
238,239,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,2,SP,"R$95.426,43",55,"R$740,77",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 20/11/2006: R$500.000,00."
239,240,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 27/11/2006: R$800.000,00."
